"from","to","value"
"C3D1_max_of_AFkl","C4D1_max_of_AFkl",0.912527873040712
"BL_max_of_AFkl","BL_max_of_AF",0.869763885409082
"C2D1_max_of_AF","C3D1_max_of_AF",0.932594149604616
"C2D1_max_of_AF","C4D1_max_of_AF",0.935264558836085
"C3D1_max_of_AF","C4D1_max_of_AF",0.968559774228323
"C3D1_max_of_AFkl","C3D1_max_of_TMPMPkl",0.880374487566665
"C3D1_max_of_AFkl","C4D1_max_of_TMPMPkl",0.90709579608576
"C4D1_max_of_AFkl","C4D1_max_of_TMPMPkl",0.925298499630678
"C8D1_cfDNA_conc","C8D1_max_of_TMPMPkl",0.867258399660959
"BL_cfDNA_conc","BL_max_of_TMPMP",0.842767450288947
"BL_max_of_TMPMPkl","BL_max_of_TMPMP",0.983575309303727
"C2D1_max_of_TMPMPkl","C2D1_max_of_TMPMP",0.877695166558765
"C3D1_max_of_AF","C3D1_max_of_TMPMP",0.883732474566073
"C4D1_max_of_AF","C3D1_max_of_TMPMP",0.818467154106207
"C2D1_max_of_AF","C4D1_max_of_TMPMP",0.855852011688892
"C3D1_max_of_AF","C4D1_max_of_TMPMP",0.906145987731459
"C4D1_max_of_AF","C4D1_max_of_TMPMP",0.928773333599316
"C8D1_cfDNA_conc","C8D1_max_of_TMPMP",0.867263456891146
"C8D1_max_of_TMPMPkl","C8D1_max_of_TMPMP",0.999085071800329
"BL_max_of_AFkl","BL_mean_of_AFkl",0.930926276072379
"BL_max_of_AF","BL_mean_of_AFkl",0.814621265467812
"C2D1_max_of_AFkl","C2D1_mean_of_AFkl",0.889406692537303
"C2D1_max_of_TMPMPkl","C2D1_mean_of_AFkl",0.827790793918715
"C3D1_max_of_AFkl","C3D1_mean_of_AFkl",0.859285307131131
"C3D1_max_of_TMPMPkl","C3D1_mean_of_AFkl",0.928699934150482
"C3D1_max_of_AFkl","C4D1_mean_of_AFkl",0.918407578021115
"C4D1_max_of_AFkl","C4D1_mean_of_AFkl",0.856753405163045
"C3D1_max_of_TMPMPkl","C4D1_mean_of_AFkl",0.837066149095622
"C4D1_max_of_TMPMPkl","C4D1_mean_of_AFkl",0.889600620251485
"C3D1_mean_of_AFkl","C4D1_mean_of_AFkl",0.857660363831532
"C8D1_max_of_AFkl","C8D1_mean_of_AFkl",0.930822212763804
"BL_max_of_AFkl","BL_mean_of_AF",0.839743062834063
"BL_max_of_AF","BL_mean_of_AF",0.843890583325902
"BL_mean_of_AFkl","BL_mean_of_AF",0.927538878465937
"C2D1_mean_of_AF","C3D1_mean_of_AF",0.871063738999851
"C2D1_mean_of_AF","C4D1_mean_of_AF",0.899222747288069
"C3D1_mean_of_AF","C4D1_mean_of_AF",0.95797917806397
"C8D1_mean_of_AFkl","C8D1_mean_of_AF",0.844956709147826
"BL_max_of_TMPMPkl","BL_mean_of_TMPMPkl",0.997198215468311
"BL_max_of_TMPMP","BL_mean_of_TMPMPkl",0.975294860713197
"C2D1_max_of_TMPMPkl","C2D1_mean_of_TMPMPkl",0.972135197796459
"C2D1_max_of_TMPMP","C2D1_mean_of_TMPMPkl",0.855136272512313
"C3D1_max_of_TMPMPkl","C3D1_mean_of_TMPMPkl",0.927984042451535
"C3D1_mean_of_AFkl","C3D1_mean_of_TMPMPkl",0.8996960150845
"C3D1_max_of_TMPMPkl","C4D1_mean_of_TMPMPkl",0.865355708608268
"C4D1_max_of_TMPMPkl","C4D1_mean_of_TMPMPkl",0.829933221570779
"C3D1_mean_of_AFkl","C4D1_mean_of_TMPMPkl",0.860128756119062
"C4D1_mean_of_AFkl","C4D1_mean_of_TMPMPkl",0.849022840780244
"C3D1_mean_of_TMPMPkl","C4D1_mean_of_TMPMPkl",0.834996498730764
"C8D1_cfDNA_conc","C8D1_mean_of_TMPMPkl",0.879148139706706
"C8D1_max_of_TMPMPkl","C8D1_mean_of_TMPMPkl",0.99674914319147
"C8D1_max_of_TMPMP","C8D1_mean_of_TMPMPkl",0.996881848351311
"BL_cfDNA_conc","BL_mean_of_TMPMP",0.828986113448045
"BL_max_of_TMPMPkl","BL_mean_of_TMPMP",0.986590497975503
"BL_max_of_TMPMP","BL_mean_of_TMPMP",0.996229035574446
"BL_mean_of_TMPMPkl","BL_mean_of_TMPMP",0.984114290631402
"C2D1_max_of_TMPMPkl","C2D1_mean_of_TMPMP",0.938860754202691
"C2D1_max_of_TMPMP","C2D1_mean_of_TMPMP",0.917428171403178
"C2D1_mean_of_AFkl","C2D1_mean_of_TMPMP",0.81544219819364
"C2D1_mean_of_TMPMPkl","C2D1_mean_of_TMPMP",0.954398510701141
